NAME, MODEL1, MODEL2, MODEL3, MODEL4
"Ambassador" Dagg'thol,34062,0,0,0
"Auntie" Bernice Stonefield,3329,0,0,0
"Backstab" Bindo Gearbomb,23691,0,0,0
"Baroness" Llana,26386,0,0,0
"Buckets" Cleary,23685,0,0,0
"Captain" Cookie,1305,0,0,0
"Captain" Cookie (1),1305,0,0,0
"Captain" Kaftiz,19105,0,0,0
"Charlie" Northtop,23935,0,0,0
"Chef" Overheat,36000,0,0,0
"Chesty" Jake,36484,0,0,0
"Commander" Nazrim,371,0,0,0
"Cookie" McWeaksauce,32384,0,0,0
"Cookie" McWeaksauce,16947,0,0,0
"Count" Ungula,19400,0,0,0
"Creepjack",19160,0,0,0
"Crowleg" Dan,22505,0,0,0
"Dapper" Danik Blackshaft,27911,0,0,0
"Dead-Eye" Drederick McGumm,33411,0,0,0
"Dead-Eye" Drederick McGumm,33411,0,0,0
"Dirty" Larry,19156,0,0,0
"Dirty" Michael Crowe,21891,0,0,0
"Doc" Ballard Wildwave,31624,0,0,0
"Doc" Cogspin,31624,0,0,0
"Doc" Cogspin,31624,0,0,0
"Doc" Cogspin,31624,0,0,0
"Doc" Schweitzer,36767,0,0,0
"Dragon",169,0,0,0
"Epic" Malone,19159,0,0,0
"Goblin" Pump Controller,32463,0,0,0
"Good-Boy" Bruce,33377,0,0,0
"Grizzly" D. Adams,24492,0,0,0
"Hacksaw" Jenny,22220,0,0,0
"Honest" Max,26325,0,0,0
"Jack" Pisarek Slamfix,34555,0,0,0
"King" Dond,18290,0,0,0
"Kobold" Kerik,38319,0,0,0
"Lefty" Puddemup,18290,0,0,0
"Little" Logok,1054,0,0,0
"Lunchbox",23486,26266,0,0
"Mad" Jonah Sterling,127,0,0,0
"Patches",27426,0,0,0
"Plucky" Johnson,32321,0,0,0
"Plucky" Johnson's Human Transform,6194,0,0,0
"Pokey" Thornmantle,33493,0,0,0
"Pretty Boy" Duncan,4641,0,0,0
"Red" Jack Findle,25609,0,0,0
"Salty" Gorgar,34615,0,0,0
"Salty" John Thorpe,23027,0,0,0
"Salty" Rocka,34616,0,0,0
"Scoodles",22721,0,0,0
"Screaming" Screed Luckheed,18776,0,0,0
"Sea Wolf" MacKinley,1925,0,0,0
"Shaky" Phillipe,1929,0,0,0
"Shotgun" Jones,18536,0,0,0
"Silvermoon" Harry,22525,0,0,0
"Skullcrusher the Mountain" Camera,22452,0,0,0
"Skullcrusher the Mountain" Character Transform,22452,0,0,0
"Skullcrusher the Mountain" Mirror Image,11686,0,0,0
"Slim",19654,0,0,0
"Snake" Sanders,35969,0,0,0
"Spectral Tiger",28811,0,0,0
"Squealer" Thornmantle,1254,0,0,0
"Stinky" Ignatz,4684,0,0,0
"Swamp Eye" Jarl,4686,0,0,0
"Techs" Rickard Rustbolt,26391,0,0,0
"Tiny" Jimb,6692,0,0,0
"Tipsy" McManus,25516,0,0,0
"Wyrmbait",24863,24867,0,0
'Thunderflash',22719,0,0,0
(Deprecated) Sunwell FX,23396,0,0,0
(PH) DEPRECATED,23165,0,0,0
(PH) Dreadweave Spinner,18043,0,0,0
(PH) Duskhowl Stalker,22042,0,0,0
(PH) Fel Orc Berserker,18213,0,0,0
(PH) Grizzly Test Low Aggro Worg,22042,0,0,0
(PH) Neophyte Combatant,18566,18567,18568,18569
(PH) Scryers Ride,6851,0,0,0
(PH) Shattered Sun Badge Vendor,22831,0,0,0
(PH) Shattered Sun Raid Loot,22831,0,0,0
(PH) Shattered Sun Raid Loot Conversion,22831,0,0,0
(PH) Skyguard Fletcher,21169,0,0,0
(PH) Storm Maiden,25797,0,0,0
(PH) Storm Maiden - Caster,26123,0,0,0
(PH) Wildlife Test Bear,21635,0,0,0
(PH) Wildlife Test Doe,23786,0,0,0
(PH) Wildlife Test Worg,22042,0,0,0
(Wave 0) Torch Dummy,19725,20559,0,0
(Wrath Gate) Dummy,22712,17188,0,0
(Wrathgate Alliance) Fordragon Battle-Mage,24365,24552,24553,24554
(Wrathgate Alliance) Fordragon Footman,24361,24541,24543,24542
(Wrathgate Alliance) Fordragon Marskman,24967,24968,0,0
(Wrathgate Alliance) Fordragon Sentinel,24363,24546,24547,24548
(Wrathgate Horde) Darkspear,24091,24092,24093,0
(Wrathgate Horde) Taunka Huntsman,24973,24974,0,0
(Wrathgate Horde) Warsong Elite,24700,0,0,0
(Wrathgate Monster) Abomination,16214,0,0,0
(Wrathgate Monster) Angrathar Aberration,571,0,0,0
(Wrathgate Monster) Forsaken Blightspreader (Gas Mask),25320,25322,25323,25324
(Wrathgate Monster) Forsaken Catapult,23884,0,0,0
(Wrathgate Monster) Frail Construct,11402,0,0,0
(Wrathgate Scourge) Plague Eruptor,23136,0,0,0
... It Will Come Void Zone,25178,0,0,0
/Learn Patroller Test,24893,0,0,0
/Learn Spawn Test,24893,0,0,0
1st Kvaldir Vessel (The Serpent's Maw),169,11686,0,0
2.3 Daily Debug - Alliance,2676,0,0,0
2.3 Daily Debug - Horde,2676,0,0,0
2.4 Daily Debug - Everyone [PH],15093,0,0,0
2.4 Sunwell Daily Gem Vendor [PH],15093,0,0,0
2nd Kvaldir Vessel (The Kur Drakkar),169,11686,0,0
2nd Lieutenant Wansworth,37279,0,0,0
3rd Kvaldir Vessel (Bor's Hammer),169,11686,0,0
3rd Officer Kronkar,37242,0,0,0
447 Fire,11686,0,0,0
4th Kvaldir Vessel (Bor's Anvil),169,11686,0,0
55-D Collect-a-tron,27578,0,0,0
7:XT,6889,0,0,0
7th Legion Battle Mage,24365,24552,24553,24554
7th Legion Cavalier,24362,24538,24539,24540
7th Legion Chain Gun,25331,24807,0,0
7th Legion Cleric,24864,24865,24866,0
7th Legion Deckhand,26989,26990,26991,26992
7th Legion Elite,24361,24541,24542,24543
7th Legion Elite,24361,24541,24542,24543
7th Legion Harpoon Gun,24807,0,0,0
7th Legion Infantry,29895,29896,29897,0
7th Legion Infantry (1),29895,29896,29897,0
7th Legion Infantryman,24361,24541,24542,24543
7th Legion Infantryman,24361,24541,24542,24543
7th Legion Marine,26997,26998,27331,27332
7th Legion Rifleman,24361,24541,24542,24543
7th Legion Scout,34753,34754,34755,34756
7th Legion Scout,34753,34754,34755,34756
7th Legion Sentinel,24363,24546,24547,24548
7th Legion Siege Engineer,24364,24549,24550,24551
7th Legion Siege Engineer (DVD),24364,24549,24550,24551
7th Legion Submariner,34438,34439,34440,34446
7th Legion Submariner,34438,34439,34440,34446
7th Legion Submariner,34438,34439,34440,34446
7th Legion Test Unit,24364,0,0,0
7th Legion Wyrm Hunter,24863,24867,0,0
7th March Trigger,16480,0,0,0
<Away>Garl Grimgrizzle,38721,0,0,0
<Away>Johnny Awesome,38729,0,0,0
<This Will Be A Carriage Vehicle>,65,0,0,0
<TXT>Crown Guard Capture Quest Doodad,11686,0,0,0
<TXT>Eastwall Capture Quest Doodad,11686,0,0,0
<TXT>Northpass Capture Quest Doodad,11686,0,0,0
<TXT>Plaguewood Capture Quest Doodad,11686,0,0,0
A,169,0,0,0
A Bazillion Macaroons Fiery Boulder Caster,1126,11686,0,0
A Distant Voice,10812,26241,0,0
A distant voice,169,11686,0,0
A Mysterious Voice,169,11686,0,0
A Note From Vanessa,36542,0,0,0
A Ritual of Flame Event Controller,22903,11686,0,0
A tormented voice,8175,0,0,0
A'dal,18135,0,0,0
A'dal,18135,0,0,0
A-Me 01,8841,0,0,0
A-Me 01 (Escortee 1) [UNUSED],8841,0,0,0
A-Me 01 (Escortee 2) [UNUSED],8841,0,0,0
A-Me 01 (Escortee 3) [UNUSED],8841,0,0,0
Aalun,16726,0,0,0
Aaron,338,0,0,0
Aaron "Sandy Toes" Williamson,36482,0,0,0
Aaron Hollman,19087,0,0,0
Aayndia Floralwind,2053,0,0,0
Abandoned Bloodwash Crate,37201,0,0,0
Abandoned Bloodwash Crate,32335,0,0,0
Abandoned Fuel Tank,24256,0,0,0
Abandoned Pack Mule,14546,14547,14551,14549
Abandoned Siege Engine,35775,0,0,0
Abbendis,19545,0,0,0
Abdul Relay,22712,17188,0,0
Abdul the Insane,22722,0,0,0
Abe the Cabin Boy,262,0,0,0
Abe Winters,1631,0,0,0
Abedneum,18783,16925,0,0
Abercrombie,4328,0,0,0
Abercrombie,33558,0,0,0
Aberrant Owlbeast,5927,0,0,0
Aberration,36885,26946,27323,22181
Aberration,35677,0,0,0
Aberration (1),35677,0,0,0
Aberration (2),35677,0,0,0
Aberration (3),35677,0,0,0
Abigail Sawyer,2656,0,0,0
Abigail Shiel,1632,0,0,0
Abjurist Belmara,18978,0,0,0
Abner Fizzletorque,23378,0,0,0
